file,task,model,seed,step,eval_return
atari.sh-15675036-0.out,,unknown,-1,3100672,4.76
atari.sh-15675036-0.out,,unknown,-1,3150848,4.88
atari.sh-15675036-0.out,,unknown,-1,3200000,4.24
atari.sh-15675036-0.out,,unknown,-1,3250176,4.12
atari.sh-15675036-0.out,,unknown,-1,3300352,4.72
atari.sh-15675036-0.out,,unknown,-1,3350528,4.32
atari.sh-15675036-0.out,,unknown,-1,3400704,4.92
atari.sh-15675036-0.out,,unknown,-1,3450880,3.88
atari.sh-15675036-0.out,,unknown,-1,3500032,4.6
atari.sh-15675036-0.out,,unknown,-1,3550208,4.72
atari.sh-15675036-0.out,,unknown,-1,3600384,4.52
atari.sh-15675036-0.out,,unknown,-1,3650560,4.64
atari.sh-15675036-0.out,,unknown,-1,3700736,4.88
atari.sh-15675036-0.out,,unknown,-1,3750912,4.52
atari.sh-15675036-0.out,,unknown,-1,3800064,4.44
atari.sh-15675036-0.out,,unknown,-1,3850240,4.56
atari.sh-15675036-0.out,,unknown,-1,3900416,4.08
atari.sh-15675036-0.out,,unknown,-1,3950592,4.68
atari.sh-15675036-0.out,,unknown,-1,4000768,4.84
atari.sh-15675036-0.out,,unknown,-1,4050944,5.6
atari.sh-15675036-0.out,,unknown,-1,4100096,5.08
atari.sh-15675036-0.out,,unknown,-1,4150272,4.76
atari.sh-15675036-0.out,,unknown,-1,4200448,4.8
atari.sh-15675036-0.out,,unknown,-1,4250624,4.0
atari.sh-15675036-0.out,,unknown,-1,4300800,4.88
atari.sh-15675036-0.out,,unknown,-1,4350976,5.24
atari.sh-15675036-0.out,,unknown,-1,4400128,4.32
atari.sh-15675036-0.out,,unknown,-1,4450304,5.12
atari.sh-15675036-0.out,,unknown,-1,4500480,4.4
atari.sh-15675036-0.out,,unknown,-1,4550656,4.92
atari.sh-15675036-0.out,,unknown,-1,4600832,3.48
atari.sh-15675036-0.out,,unknown,-1,4651008,4.84
atari.sh-15675036-0.out,,unknown,-1,4700160,5.24
atari.sh-15675036-0.out,,unknown,-1,4750336,4.08
atari.sh-15675036-0.out,,unknown,-1,4800512,3.32
atari.sh-15675036-0.out,,unknown,-1,4850688,4.08
atari.sh-15675036-0.out,,unknown,-1,4900864,4.72
atari.sh-15675036-0.out,,unknown,-1,4950016,3.76
atari.sh-15675036-0.out,,unknown,-1,5000192,5.04
atari.sh-15675036-0.out,,unknown,-1,5050368,4.32
atari.sh-15675036-0.out,,unknown,-1,5100544,5.28
atari.sh-15675036-0.out,,unknown,-1,5150720,5.6
atari.sh-15675036-0.out,,unknown,-1,5200896,5.36
atari.sh-15675036-0.out,,unknown,-1,5250048,5.36
atari.sh-15675036-0.out,,unknown,-1,5300224,4.68
atari.sh-15675036-0.out,,unknown,-1,5350400,4.6
atari.sh-15675036-0.out,,unknown,-1,5400576,4.72
atari.sh-15675036-0.out,,unknown,-1,5450752,5.16
atari.sh-15675036-0.out,,unknown,-1,5500928,4.72
atari.sh-15675036-0.out,,unknown,-1,5550080,5.64
atari.sh-15675036-0.out,,unknown,-1,5600256,5.6
atari.sh-15675036-0.out,,unknown,-1,5650432,5.16
atari.sh-15675036-0.out,,unknown,-1,5700608,4.32
atari.sh-15675036-0.out,,unknown,-1,5750784,5.48
atari.sh-15675036-0.out,,unknown,-1,5800960,4.64
atari.sh-15675036-0.out,,unknown,-1,5850112,4.36
atari.sh-15675036-0.out,,unknown,-1,5900288,4.32
atari.sh-15675036-0.out,,unknown,-1,5950464,5.84
atari.sh-15675036-0.out,,unknown,-1,6000640,6.36
atari.sh-15675036-0.out,,unknown,-1,6050816,4.44
atari.sh-15675036-0.out,,unknown,-1,6100992,5.32
atari.sh-15675036-0.out,,unknown,-1,6150144,5.64
atari.sh-15675036-0.out,,unknown,-1,6200320,5.08
atari.sh-15675036-0.out,,unknown,-1,6250496,4.88
atari.sh-15675036-0.out,,unknown,-1,6300672,4.36
atari.sh-15675036-0.out,,unknown,-1,6350848,4.88
atari.sh-15675036-0.out,,unknown,-1,6400000,5.12
atari.sh-15675036-0.out,,unknown,-1,6450176,5.8
atari.sh-15675036-0.out,,unknown,-1,6500352,4.6
atari.sh-15675036-0.out,,unknown,-1,6550528,4.48
